team_number,year,event_name,award_name
4451,2025, Hartsville District,Innovation in Control
4451,2025, North Charleston District,Innovation in Control
4451,2025, South Carolina DCMP,Autonomous
3256,2025,San Francisco Regional,Engineering Inspiration
3256,2025,Contra Costa Regional,Excellence in Engineering
818,2025,FIM Troy,Innovation in Control
1732,2025,Phantom Lakes Regional,Innovation in Control
1732,2025,Wisconsin Regional,Innovation in Control
2471,2025,PNW District Wilsonville,Innovation in Control
2471,2025,PNW DCMP,Innovation in Control
5427,2025,FIT District Space City,Innovation in Control
6391,2025,Iowa Regional,Creativity
5152,2025,FIM Battle Creek,Innovation in Control,
5152,2025,FIM Muskegon,Judges'
5152,2025,MSC Aptiv Division,Creativity
5461,2025,Idaho Regional,Creativity
1731,2025,CHS Glen Allen,Innovation in Control
1731,2025,CHS Bethesda,Innovation in Control
2383,2025,Green County,Innovation in Control
2383,2025,South Florida,Innovation in Control
5010,2025,FIN Mishawaka,Innovation in Control
5010,2025,FIN Championship,Judges'
4451,2025,Hartsville District,Event Winner
4451,2025,North Charleston District,Event Winner
4451,2025,South Carolina DCMP,Event Winner
818,2025,FIM Macomb District,Event Winner
1732,2025,Wisconsin Regional,Event Winner
1731,2025,CHS Glen Allen,Event Winner
1731,2025,CHS Bethesda,Event Winner
